pair_id,pair_type,comparison_focus,researcher_a_name,researcher_a_h_index,researcher_a_h_rank,researcher_a_composite_rank,researcher_a_composite_score,researcher_b_name,researcher_b_h_index,researcher_b_h_rank,researcher_b_composite_rank,researcher_b_composite_score,h_rank_difference,composite_rank_difference,dramatic_difference,question_context
1,type1_similar_h_dramatic_composite,"Similar H-index ranking, dramatically different composite ranking",Yann LeCun,132,5,95,9.03813e-18,Geoffrey E. Hinton,159,1,773,2.07595e-18,4,678,678,Both researchers have similar citation impact (H-index ranks #5 vs #1). Who would you rank higher for overall research excellence?
2,type1_similar_h_dramatic_composite,"Similar H-index ranking, dramatically different composite ranking",R. Gur,141,4,144,8.4459e-18,G. Ceder,153,2,710,2.673e-18,2,566,566,Both researchers have similar citation impact (H-index ranks #4 vs #2). Who would you rank higher for overall research excellence?
3,type1_similar_h_dramatic_composite,"Similar H-index ranking, dramatically different composite ranking",Christopher D. Manning,144,3,445,5.37515e-18,J. Weston,106,9,930,5.686600000000001e-19,6,485,485,Both researchers have similar citation impact (H-index ranks #3 vs #9). Who would you rank higher for overall research excellence?
4,type1_similar_h_dramatic_composite,"Similar H-index ranking, dramatically different composite ranking",W. Bruce Croft,125,6,474,5.10609e-18,E. Hovy,97,14,932,5.462800000000001e-19,8,458,458,Both researchers have similar citation impact (H-index ranks #6 vs #14). Who would you rank higher for overall research excellence?
5,type1_similar_h_dramatic_composite,"Similar H-index ranking, dramatically different composite ranking",Luke Zettlemoyer,111,7,301,6.737720000000001e-18,Yejin Choi,104,11,894,8.4045e-19,4,593,593,Both researchers have similar citation impact (H-index ranks #7 vs #11). Who would you rank higher for overall research excellence?
6,type1_similar_h_dramatic_composite,"Similar H-index ranking, dramatically different composite ranking",Jianfeng Gao,94,16,164,8.214230000000001e-18,Noah A. Smith,109,8,660,3.1405200000000002e-18,8,496,496,Both researchers have similar citation impact (H-index ranks #16 vs #8). Who would you rank higher for overall research excellence?
7,type1_similar_h_dramatic_composite,"Similar H-index ranking, dramatically different composite ranking",Hsinchun Chen,93,18,222,7.573660000000001e-18,H. Krumholz,106,9,881,1.01182e-18,9,659,659,Both researchers have similar citation impact (H-index ranks #18 vs #9). Who would you rank higher for overall research excellence?
8,type1_similar_h_dramatic_composite,"Similar H-index ranking, dramatically different composite ranking",Dan Jurafsky,104,11,578,3.900270000000001e-18,E. Cambria,104,11,885,9.793500000000001e-19,0,307,307,Both researchers have similar citation impact (H-index ranks #11 vs #11). Who would you rank higher for overall research excellence?
9,type1_similar_h_dramatic_composite,"Similar H-index ranking, dramatically different composite ranking",L. Briand,86,23,70,9.25897e-18,A. Halevy,96,15,811,1.7511600000000002e-18,8,741,741,Both researchers have similar citation impact (H-index ranks #23 vs #15). Who would you rank higher for overall research excellence?
10,type1_similar_h_dramatic_composite,"Similar H-index ranking, dramatically different composite ranking",Dragomir R. Radev,80,26,105,8.94942e-18,D. Roth,94,16,828,1.5296600000000001e-18,10,723,723,Both researchers have similar citation impact (H-index ranks #26 vs #16). Who would you rank higher for overall research excellence?
11,type1_similar_h_dramatic_composite,"Similar H-index ranking, dramatically different composite ranking",Maosong Sun,91,20,313,6.6664e-18,J. Pei,92,19,738,2.4795700000000003e-18,1,425,425,Both researchers have similar citation impact (H-index ranks #20 vs #19). Who would you rank higher for overall research excellence?
12,type1_similar_h_dramatic_composite,"Similar H-index ranking, dramatically different composite ranking",L. Bottou,74,30,153,8.3327e-18,Kyunghyun Cho,90,21,799,1.81339e-18,9,646,646,Both researchers have similar citation impact (H-index ranks #30 vs #21). Who would you rank higher for overall research excellence?
13,type1_similar_h_dramatic_composite,"Similar H-index ranking, dramatically different composite ranking",L. Deng,88,22,554,4.25181e-18,R. Socher,86,23,975,1.6591000000000002e-19,1,421,421,Both researchers have similar citation impact (H-index ranks #22 vs #23). Who would you rank higher for overall research excellence?
14,type1_similar_h_dramatic_composite,"Similar H-index ranking, dramatically different composite ranking",K. Kavukcuoglu,74,30,165,8.19565e-18,Graham Neubig,84,25,575,3.9305e-18,5,410,410,Both researchers have similar citation impact (H-index ranks #30 vs #25). Who would you rank higher for overall research excellence?
15,type1_similar_h_dramatic_composite,"Similar H-index ranking, dramatically different composite ranking",Xiaodong He,70,36,286,6.9089800000000005e-18,Dong Yu,80,26,696,2.7841400000000002e-18,10,410,410,Both researchers have similar citation impact (H-index ranks #36 vs #26). Who would you rank higher for overall research excellence?
