author_id,name,total_paper_count,total_citation_count,h_index,institution,first_publication_year,last_publication_year,career_span,avg_papers_per_year,first_author_count,last_author_count,mode_venue,unique_venues,venue_diversity,venue_types,conference_journal_ratio,citations_per_paper
51394448,Shaoxiong Ji,50,3823,22,Technical University of Darmstadt,2018,2024,7,7.142857142857143,23,7,arXiv.org,28.0,0.9371150879577617,"{'conference': 15, 'journal': 15}",1.0,76.46
2531268,Alexander M. Rush,138,24080,57,Cornell Tech,1998,2023,26,5.3076923076923075,12,72,Conference on Empirical Methods in Natural Language Processing,35.0,0.7812457826431783,"{'conference': 90, 'journal': 12}",7.5,174.4927536231884
2186852856,Phillip Schneider,17,96,4,,2022,2025,4,4.25,12,1,arXiv.org,13.0,0.9668633469624776,{'conference': 11},inf,5.647058823529412
2719024,Peter Milder,83,2560,23,Stony Brook University,2005,2023,19,4.368421052631579,17,27,Optics Express,51.0,0.9496264187672955,"{'conference': 39, 'journal': 12}",3.25,30.843373493975903
2117008214,Edward Kim,12,1203,7,,2003,2023,21,0.5714285714285714,6,0,npj Computational Materials,7.0,0.979569764547061,{'journal': 5},0.0,100.25
5293769,J. Devylder,212,5223,40,,2008,2025,18,11.777777777777779,67,77,Schizophrenia Research,66.0,0.8394824440906818,{'journal': 184},0.0,24.63679245283019
1405994600,Chu-Ren Huang,58,267,8,,2010,2024,15,3.8666666666666667,2,43,"Pacific Asia Conference on Language, Information and Computation",25.0,0.842693136210731,"{'journal': 20, 'conference': 23}",1.15,4.603448275862069
145045509,David Weiss,13,2154,12,,2009,2020,12,1.0833333333333333,1,5,Conference on Empirical Methods in Natural Language Processing,4.0,0.9131226292013046,{'conference': 8},inf,165.69230769230768
2143919864,Diyi Yang,78,3721,30,,2021,2023,3,26.0,4,51,Annual Meeting of the Association for Computational Linguistics,30.0,0.828454316056961,"{'conference': 60, 'journal': 6}",10.0,47.705128205128204
2255173914,Rafael A. Calvo,3,310,2,,2017,2024,8,0.375,1,0,The Behavior Therapist,3.0,0.9999999999999998,{'journal': 3},0.0,103.33333333333333
2840689,A. Callahan,73,3999,24,,2008,2023,16,4.5625,33,7,JAMA Network Open,43.0,0.9672204698431713,"{'conference': 12, 'journal': 30}",0.4,54.78082191780822
144035647,I. Trofimov,26,351,10,,2012,2025,14,1.8571428571428572,8,6,IEEE Access,14.0,0.8855632299752066,"{'journal': 8, 'conference': 11}",1.375,13.5
143886116,Rosa Vallejos,35,185,6,,1983,2023,41,0.8536585365853658,26,26,International Journal of American Linguistics,10.0,0.9575261403463023,"{'conference': 2, 'journal': 5}",0.4,5.285714285714286
2189375026,A. Nik,4,46,4,,2017,2023,7,0.5714285714285714,2,0,CASE,2.0,0.9182958340544894,{'conference': 2},inf,11.5
2114069742,Han Cai,26,1319,15,,2019,2025,7,3.7142857142857144,10,0,arXiv.org,10.0,0.8130295772129486,{'conference': 9},inf,50.73076923076923
144036063,Michael Wiegand,98,3391,21,Institute for German Language Mannheim/Heidelberg University,2002,2024,23,4.260869565217392,55,18,North American Chapter of the Association for Computational Linguistics,39.0,0.9123908581602432,"{'conference': 58, 'journal': 12}",4.833333333333333,34.60204081632653
83928755,C. Caucheteux,40,4381,19,,1984,2025,42,0.9523809523809523,12,4,arXiv.org,18.0,0.9205706674788952,"{'journal': 17, 'conference': 3}",0.17647058823529413,109.525
2298902857,Patrick Haller,8,2264,4,,2022,2025,4,2.0,3,0,arXiv.org,5.0,0.8613531161467861,{'conference': 4},inf,283.0
2174177330,Shlok S Deshmukh,2,2229,2,,2022,2022,1,2.0,0,0,arXiv.org,2.0,1.0,{'conference': 1},inf,1114.5
2026545715,Preslav Nakov,205,4124,36,,2003,2025,23,8.91304347826087,21,69,arXiv.org,56.0,0.7884170911547284,"{'conference': 106, 'journal': 15}",7.066666666666666,20.117073170731707
1947101,Shijie Geng,59,3862,28,,2015,2024,10,5.9,16,0,arXiv.org,26.0,0.8991853788226549,"{'conference': 33, 'journal': 8}",4.125,65.45762711864407
1982950,Luke Zettlemoyer,275,102722,111,University of Washington,1998,2023,26,10.576923076923077,16,137,Conference on Empirical Methods in Natural Language Processing,43.0,0.7049010147471566,"{'conference': 203, 'journal': 15}",13.533333333333333,373.5345454545455
2253657208,Reid Pryzant,10,717,8,,2017,2023,7,1.4285714285714286,6,2,North American Chapter of the Association for Computational Linguistics,7.0,0.979569764547061,"{'journal': 2, 'conference': 5}",2.5,71.7
82563120,Karolina Stańczak,10,180,6,Mila;McGill University,2014,2025,12,0.8333333333333334,5,1,arXiv.org,7.0,0.9708357627258162,"{'conference': 5, 'journal': 2}",2.5,18.0
1384550891,Xiang Ren,132,6246,38,,2013,2023,11,12.0,6,79,Conference on Empirical Methods in Natural Language Processing,26.0,0.7357769247077731,"{'conference': 72, 'journal': 10}",7.2,47.31818181818182
1794305,S. Quarteroni,69,13121,15,,2004,2022,19,3.6315789473684212,30,31,SIGDIAL Conference,29.0,0.9706319429726957,"{'journal': 8, 'conference': 19}",2.375,190.15942028985506
1509809381,Gunjan Chhablani,28,4861,11,,2020,2025,6,4.666666666666667,3,0,arXiv.org,11.0,0.8686068971282328,"{'journal': 3, 'conference': 10}",3.3333333333333335,173.60714285714286
153083809,Ruisi Su,7,2372,4,,2019,2025,7,1.0,1,0,arXiv.org,5.0,0.9697238998682473,"{'journal': 1, 'conference': 3}",3.0,338.85714285714283
49021734,Dotan Emanuel,10,617,5,,2019,2024,6,1.6666666666666667,0,0,European Control Conference,6.0,0.967132018086354,"{'conference': 5, 'journal': 2}",2.5,61.7
2112753297,Chen Luo,3,481,2,,2017,2017,1,3.0,2,0,International Joint Conference on Artificial Intelligence,3.0,0.9999999999999998,"{'conference': 2, 'journal': 1}",2.0,160.33333333333334
51583409,Bill Yuchen Lin,64,5863,35,Allen Institute for AI (AI2),2016,2024,9,7.111111111111111,26,6,arXiv.org,16.0,0.7720340391334293,"{'conference': 36, 'journal': 2}",18.0,91.609375
2065657002,Maged S. Alshaibani,3,84,3,,2020,2023,4,0.75,0,0,arXiv.org,1.0,0.0,,,28.0
1690334,J. Starren,179,6469,42,,1988,2022,35,5.114285714285714,25,90,American Medical Informatics Association Annual Symposium,57.0,0.8010343090715074,"{'journal': 56, 'conference': 47}",0.8392857142857143,36.13966480446928
145468230,K. Cohen,177,5930,37,,2000,2022,23,7.695652173913044,64,35,BMC Bioinformatics,58.0,0.9221289471183723,"{'journal': 36, 'conference': 43}",1.1944444444444444,33.50282485875706
2109365023,A. Sharma,2,74,1,,2017,2020,4,0.5,2,1,International Journal of Advanced Trends in Computer Science and Engineering,2.0,1.0,"{'journal': 1, 'conference': 1}",1.0,37.0
145183709,J. Weston,246,92109,106,,1998,2023,26,9.461538461538462,44,114,arXiv.org,52.0,0.8050368500209528,"{'conference': 118, 'journal': 29}",4.068965517241379,374.4268292682927
2065873917,M. Oussalah,44,472,9,,2008,2024,17,2.588235294117647,3,9,Fire,30.0,0.9788390048133194,"{'journal': 16, 'conference': 12}",0.75,10.727272727272727
2109664620,Wenhu Chen,22,732,12,,2019,2024,6,3.6666666666666665,1,1,arXiv.org,10.0,0.9047994130524945,"{'conference': 13, 'journal': 1}",13.0,33.27272727272727
2065251344,James Bradbury,23,49719,11,,2015,2024,10,2.3,0,0,arXiv.org,10.0,0.9407187364499412,"{'conference': 8, 'journal': 3}",2.6666666666666665,2161.695652173913
32273807,Mourad Abbas,46,740,14,,2002,2023,22,2.090909090909091,13,8,International Conference on Natural Language and Speech Processing,24.0,0.898645944504668,"{'conference': 27, 'journal': 5}",5.4,16.08695652173913
144922861,Christopher Potts,183,31777,56,,2001,2023,23,7.956521739130435,59,127,arXiv.org,46.0,0.8660179344581816,"{'conference': 60, 'journal': 19}",3.1578947368421053,173.6448087431694
21432929,Michael Karlen,2,7712,2,,2008,2011,4,0.5,1,0,Journal of machine learning research,2.0,1.0,"{'journal': 1, 'conference': 1}",1.0,3856.0
35694486,N. Khan,17,285,8,,2014,2022,9,1.8888888888888888,4,1,IEEE Access,7.0,0.9409583900892995,"{'journal': 6, 'conference': 1}",0.16666666666666666,16.764705882352942
2109104122,Shucheng Li,12,386,5,Nanjing University,2020,2024,5,2.4,5,0,arXiv.org,8.0,0.9484503122074791,"{'journal': 2, 'conference': 4}",2.0,32.166666666666664
1760868,M. Surdeanu,204,16057,43,,1990,2024,35,5.828571428571428,32,91,International Conference on Language Resources and Evaluation,66.0,0.8628177800186971,"{'conference': 116, 'journal': 8}",14.5,78.71078431372548
2133353675,Juanzi Li,104,2796,21,,2003,2025,23,4.521739130434782,0,51,arXiv.org,27.0,0.7391837741231266,"{'conference': 57, 'journal': 7}",8.142857142857142,26.884615384615383
2252160650,X. J. Yang,5,340,4,,2019,2025,7,0.7142857142857143,0,3,arXiv.org,5.0,1.0000000000000002,"{'journal': 2, 'conference': 1}",0.5,68.0
113372819,Marije C Michel,64,1478,18,,2004,2023,20,3.2,35,27,Studies in Second Language Acquisition,15.0,0.9464933129279123,{'journal': 14},0.0,23.09375
10729963,Trishala Neeraj,15,5552,8,,2017,2025,9,1.6666666666666667,0,1,arXiv.org,7.0,0.8983289127685204,{'conference': 5},inf,370.1333333333333
1518270914,Nader Tavvaf,1,195,1,,2020,2020,1,1.0,0,0,arXiv.org,1.0,0.0,,,195.0
2362276,Ekaterina Shutova,97,4997,35,,2004,2024,21,4.619047619047619,24,57,arXiv.org,28.0,0.8775546312852531,"{'journal': 12, 'conference': 51}",4.25,51.51546391752577
3385516,Oyvind Tafjord,69,8847,32,,1997,2025,29,2.3793103448275863,7,14,arXiv.org,13.0,0.7527776831067071,"{'conference': 27, 'journal': 5}",5.4,128.2173913043478
2066234090,Richard F. Rashid,2,184,2,,2021,2021,1,2.0,0,0,International Journal for Research in Applied Science and Engineering Technology,1.0,0.0,{'journal': 1},0.0,92.0
2063374,Houda Bouamor,76,1915,21,,2009,2025,17,4.470588235294118,20,13,International Conference on Language Resources and Evaluation,35.0,0.8965888500266471,"{'conference': 36, 'journal': 1}",36.0,25.19736842105263
1382164294,Anthony Moi,20,1986,3,,2019,2024,6,3.3333333333333335,0,0,Conference on Empirical Methods in Natural Language Processing,3.0,0.946394630357186,{'conference': 3},inf,99.3
2051159636,Asma Khan,1,55,1,,2021,2021,1,1.0,0,0,Symposium on Field Programmable Gate Arrays,1.0,0.0,{'conference': 1},inf,55.0
1484109150,Minh Chien Vu,11,2623,6,,2018,2024,7,1.5714285714285714,3,0,arXiv.org,5.0,0.9629610647945144,"{'conference': 3, 'journal': 1}",3.0,238.45454545454547
2896208,Paolo Torroni,226,4172,33,,1980,2024,45,5.022222222222222,39,178,International Joint Conference on Artificial Intelligence,89.0,0.9486046361578515,"{'conference': 72, 'journal': 44}",1.6363636363636365,18.460176991150444
51452296,Waad Alhoshan,13,392,8,,2018,2023,6,2.1666666666666665,8,2,arXiv.org,9.0,0.9848586617875463,"{'journal': 2, 'conference': 2}",1.0,30.153846153846153
2124218439,Sumaya Alameri,1,102,1,,2015,2015,1,1.0,0,1,ANLP@ACL,1.0,0.0,,,102.0
115727396,Z. Bilgrami,34,265,8,,2019,2025,7,4.857142857142857,6,0,Biological Psychiatry,17.0,0.8443648600007633,"{'journal': 27, 'conference': 1}",0.037037037037037035,7.794117647058823
1692283,C. Bauckhage,359,9988,46,,1998,2023,26,13.807692307692308,115,134,arXiv.org,136.0,0.8911223707373537,"{'conference': 152, 'journal': 40}",3.8,27.821727019498606
1879523878,Mario Sanger,3,2233,3,,2022,2023,2,1.5,1,0,GigaScience,3.0,0.9999999999999998,"{'journal': 1, 'conference': 1}",1.0,744.3333333333334
1601562797,Karthi Sivaraman,3,2319,3,,2019,2022,4,0.75,0,0,arXiv.org,3.0,0.9999999999999998,"{'conference': 1, 'journal': 1}",1.0,773.0
2218306363,Zhenzhu Yang,4,621,3,,2023,2024,2,2.0,0,0,arXiv.org,3.0,0.946394630357186,{'conference': 2},inf,155.25
20515689,Ligeng Zhu,37,5186,19,,2017,2025,9,4.111111111111111,8,4,arXiv.org,14.0,0.822615636215473,"{'journal': 3, 'conference': 14}",4.666666666666667,140.16216216216216
47781592,Zhijian Liu,32,6725,23,Massachusetts Institute of Technology,2018,2023,6,5.333333333333333,9,1,Computer Vision and Pattern Recognition,16.0,0.9397167748083826,"{'conference': 23, 'journal': 2}",11.5,210.15625
3232546,Pierre Zweigenbaum,337,6024,39,,1922,2023,102,3.303921568627451,67,191,American Medical Informatics Association Annual Symposium,84.0,0.8643019264265694,"{'journal': 26, 'conference': 107}",4.115384615384615,17.875370919881306
1692256,Aurélie Névéol,144,4257,32,,2003,2023,21,6.857142857142857,49,36,Conference and Labs of the Evaluation Forum,43.0,0.8897469911180769,"{'conference': 57, 'journal': 17}",3.3529411764705883,29.5625
33858862,Annika Marie Schoene,22,391,8,University of Hull,2016,2024,9,2.4444444444444446,12,5,IEEE Transactions on Affective Computing,17.0,0.9929910186265145,"{'conference': 8, 'journal': 6}",1.3333333333333333,17.772727272727273
71225308,Y. Vasiliev,19,108,3,,1984,2020,37,0.5135135135135135,18,18,,,,,,5.684210526315789
