text,label,labels,original_index,predicted_label,predicted_numeric,confidence,correct,prob_neutral,prob_positive,prob_negative
"3 Perceptron Training The parsing problem is to find a mapping from a set of sentences x ??X to a set of parses y ??Y. We assume that the mapping F is represented through a feature vector (x,y) ??Rd and a parameter vector  ??Rd in the following way (Collins, 2002): F(x) = argmax y?GEN(x) (x,y) (1) where GEN(x) denotes the set of possible parses for sentence x and (x,y)   = summationtexti ii(x,y) is the inner product",o,0,0,o,0,0.9218519,True,0.9218519,0.06644129,0.011706844
"In Table 6 we report our results, together with the state-of-the-art from the ACL wiki5 and the scores of Turney (2008) (PairClass) and from Amac Herdagdelens PairSpace system, that was trained on ukWaC",o,0,1,p,1,0.6417967,False,0.3390298,0.6417967,0.019173505
"(2006) produced a corpus of 4,000 questions annotated with syntactic trees, and obtained an improvement in parsing accuracy for Bikels reimplementation of the Collins parser (Collins, 1997) by training a new parser model with a combination of newspaper and question data",n,2,2,o,0,0.7109326,False,0.7109326,0.24992666,0.039140727
"Our corpora were automatically aligned with Giza++ (Och et al. , 1999) in both directions between source and target and symmetrised using the intersection heuristic (Koehn et al. , 2003)",o,0,3,o,0,0.9568383,True,0.9568383,0.039635908,0.0035258404
"In this work, we propose two models that can be categorized as extensions of standard word lexicons: A discriminative word lexicon that uses global, i.e. sentence-level source information to predict the target words using a statistical classifier and a trigger-based lexicon model that extends the well-known IBM model 1 (Brown et al., 1993) with a second trigger, allowing for a more finegrained lexical choice of target words",p,1,4,p,1,0.6126795,True,0.33522922,0.6126795,0.052091315
"We could also introduce new variables, e.g., nonterminal refinements (Matsuzaki et al., 2005), or secondary linksMij (not constrained by TREE/PTREE) that augment the parse with representations of control, binding, etc",o,0,5,o,0,0.9595925,True,0.9595925,0.03486633,0.0055412045
"However, these unsupervised methodologies show a major drawback by extracting quasi-exact2 or even exact match pairs of sentences as they rely on classical string similarity measures such as the Edit Distance in the case of (Dolan & Brockett, 2004) and word N-gram overlap for (Barzilay & Lee, 2003)",o,0,6,n,2,0.61773485,False,0.27606583,0.106199265,0.61773485
"2 Previous Work We briefly outline the most important existing methods and cite error rates on a standard English data set, sections 03-06 of the Wall Street Journal (WSJ) corpus (Marcus et al., 1993), containing nearly 27,000 examples",o,0,7,p,1,0.8079433,False,0.17904836,0.8079433,0.013008274
"The averaged perceptron (Collins, 2002) is a variant which averages the w across all iterations; it has demonstrated good generalization especially with data that is not linearly separable, as in many natural language processing problems",p,1,8,p,1,0.8652098,True,0.11848814,0.8652098,0.016302075
"Recently Bean and Riloff (2004) have sought to acquire automatically some semantic patterns that can be used as contextual information to improve reference resolution, using techniques adapted from information extraction",o,0,9,o,0,0.87740225,True,0.87740225,0.11781941,0.0047782524
