researcher_index,researcher_name,h_rank,composite_rank,candidates_found,selected,pair_id,composite_diff
0,Geoffrey E. Hinton,1,1,20,True,1.0,29.0
1,G. Ceder,2,4,19,True,2.0,24.0
2,Christopher D. Manning,3,5,19,True,3.0,22.0
3,R. Gur,4,6,17,True,4.0,20.0
4,Yann LeCun,5,3,16,True,5.0,22.0
5,W. Bruce Croft,6,8,16,True,6.0,33.0
6,Luke Zettlemoyer,7,11,14,False,,
7,Noah A. Smith,8,18,15,False,,
8,H. Krumholz,9,10,16,True,7.0,34.0
9,J. Weston,9,14,14,False,,
11,Dan Jurafsky,11,21,17,True,8.0,36.0
12,E. Cambria,11,17,15,False,,
13,E. Hovy,14,15,18,True,9.0,43.0
15,Jianfeng Gao,16,23,19,True,10.0,33.0
16,D. Roth,16,20,17,True,11.0,26.0
17,Hsinchun Chen,18,9,15,True,12.0,33.0
20,Kyunghyun Cho,21,12,17,True,13.0,42.0
21,L. Deng,22,19,15,True,14.0,21.0
23,R. Socher,23,7,14,True,15.0,45.0
24,Graham Neubig,25,22,16,True,16.0,40.0
26,Dong Yu,26,24,14,True,17.0,27.0
27,C. Bearden,28,29,13,True,18.0,27.0
30,L. Bottou,30,13,12,True,19.0,87.0
32,Ting Liu,33,34,14,True,20.0,44.0
