name,h_index,h_index_rank,composite_score,composite_rank,total_citation_count,total_paper_count,venue_diversity,citations_per_paper,institution,rank_difference,abs_rank_difference
Qiang Yang,54,72.0,0.9387338383738888,1.0,22029,200,0.8612298020106015,110.145,,71.0,71.0
Zhiyong Lu,75,29.0,0.9375426702777465,2.0,30011,287,0.8534260071384888,104.56794425087108,,27.0,27.0
L. Deng,88,22.0,0.936244451015515,3.0,58850,508,0.7898011403440507,115.8464566929134,,19.0,19.0
Dan Jurafsky,104,11.0,0.9322683931086738,4.0,56785,357,0.8300027703142294,159.06162464985994,Stanford University,7.0,7.0
Geoffrey E. Hinton,159,1.0,0.9250946747774539,5.0,524207,468,0.8031834165691187,1120.1004273504273,,-4.0,4.0
Christopher Potts,56,65.0,0.9247243819686196,6.0,31777,183,0.8660179344581816,173.6448087431694,,59.0,59.0
Soujanya Poria,71,34.0,0.9239402293484237,7.0,26635,241,0.8202822787760455,110.51867219917013,,27.0,27.0
Christopher D. Manning,144,3.0,0.9227987393239865,8.0,170424,492,0.7825821716815232,346.390243902439,Stanford University,-5.0,5.0
J. Pei,92,19.0,0.9210893036649338,9.0,48951,456,0.8436412301160374,107.34868421052632,,10.0,10.0
Yiming Yang,67,39.0,0.9127037189374296,10.0,51658,349,0.907983071487788,148.01719197707737,,29.0,29.0
J. Weston,106,9.0,0.9116285099172791,11.0,92109,246,0.8050368500209528,374.4268292682927,,-2.0,2.0
Noah A. Smith,109,8.0,0.9072036662737079,12.0,51749,425,0.7096974753648567,121.76235294117647,University of Washington,-4.0,4.0
Kyunghyun Cho,90,21.0,0.9022431536388426,13.0,117197,328,0.7734204557263398,357.3079268292683,,8.0,8.0
E. Belding-Royer,57,61.0,0.8997094611762952,14.0,47694,210,0.9530681100444496,227.11428571428573,,47.0,47.0
Zachary Chase Lipton,54,72.0,0.8967020288913568,15.0,19604,184,0.7609566357409254,106.54347826086956,,57.0,57.0
Yann LeCun,132,5.0,0.8937630884929678,16.0,244817,405,0.7745717172741401,604.4864197530865,Facebook,-11.0,11.0
Dragomir R. Radev,80,26.0,0.8919915649755765,17.0,30341,334,0.7962499356921603,90.84131736526946,,9.0,9.0
E. Cambria,104,11.0,0.8915384833263267,18.0,46615,504,0.857498977247996,92.49007936507935,,-7.0,7.0
Yejin Choi,104,11.0,0.8905807883374679,19.0,46739,277,0.7280717561419996,168.73285198555956,,-8.0,8.0
Xiaodong He,70,36.0,0.890386629802148,20.0,40668,282,0.8128420505491283,144.2127659574468,,16.0,16.0
J. Dudley,67,39.0,0.8893484906805069,21.0,55804,321,0.9252132129897558,173.8442367601246,,18.0,18.0
R. Socher,86,23.0,0.8889237622429057,22.0,151527,219,0.7729186640546605,691.9041095890411,,1.0,1.0
