pair_id,pair_type,comparison_focus,researcher_a_name,researcher_a_h_index,researcher_a_h_rank,researcher_a_composite_rank,researcher_a_composite_score,researcher_b_name,researcher_b_h_index,researcher_b_h_rank,researcher_b_composite_rank,researcher_b_composite_score,h_rank_difference,composite_rank_difference,dramatic_difference,question_context
1,type1_similar_h_dramatic_composite,"Similar H-index ranking, dramatically different composite ranking",Xiao Li,3,852,1,0.0,Y. Vasiliev,3,852,984,,0,983,983,Both researchers have similar citation impact (H-index ranks #852 vs #852). Who would you rank higher for overall research excellence?
2,type1_similar_h_dramatic_composite,"Similar H-index ranking, dramatically different composite ranking",Suraj Patil,2,903,1,0.0,周春婷,2,903,984,,0,983,983,Both researchers have similar citation impact (H-index ranks #903 vs #903). Who would you rank higher for overall research excellence?
3,type1_similar_h_dramatic_composite,"Similar H-index ranking, dramatically different composite ranking",Sumaya Alameri,1,945,1,0.0,José Alejandro Ruiz,1,945,984,,0,983,983,Both researchers have similar citation impact (H-index ranks #945 vs #945). Who would you rank higher for overall research excellence?
4,type1_similar_h_dramatic_composite,"Similar H-index ranking, dramatically different composite ranking",Shaochun Hao,1,945,1,0.0,th Karzan,1,945,984,,0,983,983,Both researchers have similar citation impact (H-index ranks #945 vs #945). Who would you rank higher for overall research excellence?
5,type1_similar_h_dramatic_composite,"Similar H-index ranking, dramatically different composite ranking",Bukuroshe Elira Epoka,1,945,1,0.0,Adrián Pastor Cimat,1,945,984,,0,983,983,Both researchers have similar citation impact (H-index ranks #945 vs #945). Who would you rank higher for overall research excellence?
6,type1_similar_h_dramatic_composite,"Similar H-index ranking, dramatically different composite ranking",H. Khan,1,945,1,0.0,Jael Pérez Sánchez,1,945,984,,0,983,983,Both researchers have similar citation impact (H-index ranks #945 vs #945). Who would you rank higher for overall research excellence?
7,type1_similar_h_dramatic_composite,"Similar H-index ranking, dramatically different composite ranking",Asma Khan,1,945,1,0.0,Consiglio,1,945,984,,0,983,983,Both researchers have similar citation impact (H-index ranks #945 vs #945). Who would you rank higher for overall research excellence?
8,type1_similar_h_dramatic_composite,"Similar H-index ranking, dramatically different composite ranking",Nader Tavvaf,1,945,1,0.0,Hussen Maulud,1,945,984,,0,983,983,Both researchers have similar citation impact (H-index ranks #945 vs #945). Who would you rank higher for overall research excellence?
9,type1_similar_h_dramatic_composite,"Similar H-index ranking, dramatically different composite ranking",Lotem Peled-Cohen,1,945,1,0.0,Kanchan M.Tarwani,1,945,984,,0,983,983,Both researchers have similar citation impact (H-index ranks #945 vs #945). Who would you rank higher for overall research excellence?
10,type1_similar_h_dramatic_composite,"Similar H-index ranking, dramatically different composite ranking",Guangzheng Xiong,1,945,1,0.0,Andre F. T. Martin,1,945,984,,0,983,983,Both researchers have similar citation impact (H-index ranks #945 vs #945). Who would you rank higher for overall research excellence?
11,type1_similar_h_dramatic_composite,"Similar H-index ranking, dramatically different composite ranking",Andreas Grivas,1,945,1,0.0,st Dastan,1,945,984,,0,983,983,Both researchers have similar citation impact (H-index ranks #945 vs #945). Who would you rank higher for overall research excellence?
