name,composite_score,composite_rank,h_index,citations_per_paper,venue_diversity,total_paper_count,institution
Qiang Yang,0.9387338383738888,1.0,54,110.145,0.8612298020106015,200,
Zhiyong Lu,0.9375426702777465,2.0,75,104.56794425087108,0.8534260071384888,287,
L. Deng,0.936244451015515,3.0,88,115.8464566929134,0.7898011403440507,508,
Dan Jurafsky,0.9322683931086738,4.0,104,159.06162464985994,0.8300027703142294,357,Stanford University
Geoffrey E. Hinton,0.9250946747774539,5.0,159,1120.1004273504273,0.8031834165691187,468,
Christopher Potts,0.9247243819686196,6.0,56,173.6448087431694,0.8660179344581816,183,
Soujanya Poria,0.9239402293484237,7.0,71,110.51867219917013,0.8202822787760455,241,
Christopher D. Manning,0.9227987393239865,8.0,144,346.390243902439,0.7825821716815232,492,Stanford University
J. Pei,0.9210893036649338,9.0,92,107.34868421052632,0.8436412301160374,456,
Yiming Yang,0.9127037189374296,10.0,67,148.01719197707737,0.907983071487788,349,
J. Weston,0.9116285099172791,11.0,106,374.4268292682927,0.8050368500209528,246,
Noah A. Smith,0.9072036662737079,12.0,109,121.76235294117647,0.7096974753648567,425,University of Washington
Kyunghyun Cho,0.9022431536388426,13.0,90,357.3079268292683,0.7734204557263398,328,
E. Belding-Royer,0.8997094611762952,14.0,57,227.11428571428573,0.9530681100444496,210,
Zachary Chase Lipton,0.8967020288913568,15.0,54,106.54347826086956,0.7609566357409254,184,
Yann LeCun,0.8937630884929678,16.0,132,604.4864197530865,0.7745717172741401,405,Facebook
Dragomir R. Radev,0.8919915649755765,17.0,80,90.84131736526946,0.7962499356921603,334,
E. Cambria,0.8915384833263267,18.0,104,92.49007936507935,0.857498977247996,504,
Yejin Choi,0.8905807883374679,19.0,104,168.73285198555956,0.7280717561419996,277,
Xiaodong He,0.890386629802148,20.0,70,144.2127659574468,0.8128420505491283,282,
J. Dudley,0.8893484906805069,21.0,67,173.8442367601246,0.9252132129897558,321,
R. Socher,0.8889237622429057,22.0,86,691.9041095890411,0.7729186640546605,219,
Kai-Wei Chang,0.8876025087037893,23.0,59,132.7866108786611,0.7654901001137179,239,UCLA
Song Han,0.884886639861917,24.0,53,475.35051546391753,0.8534990553504053,97,
Jianfeng Gao,0.8803629820125436,25.0,94,141.0122249388753,0.7991515297753699,409,
G. Ceder,0.879372269006335,26.0,153,99.87640449438204,0.8478456763524179,979,
Chuang Gan,0.8734678572591864,27.0,60,112.8872180451128,0.8447477233957605,133,
Luke Zettlemoyer,0.8727346716372772,28.0,111,373.5345454545455,0.7049010147471566,275,University of Washington
