author_id,name,total_paper_count,total_citation_count,h_index,first_publication_year,last_publication_year,career_span,avg_papers_per_year,first_author_count,last_author_count,single_author_count,mode_venue,unique_venues,venue_diversity,venue_types,conference_journal_ratio,citations_per_paper,institution
48870109,Carl N. Edwards,23,684,10,2018,2025,8,2.875,9,0,0,Conference on Empirical Methods in Natural Language Processing,13,0.9380924299336395,"{'conference': 12, 'journal': 2}",4.333333333333333,29.73913043478261,
2298902857,Patrick Haller,12,2687,5,2022,2025,4,3.0,5,0,0,arXiv.org,7,0.9084496903145964,"{'conference': 5, 'journal': 1}",3.0,223.91666666666666,
2124987051,A. Molina,6,520,4,2012,2022,11,0.5454545454545454,0,0,0,CHI Extended Abstracts,4,0.9609640474436812,{'conference': 2},3.0,86.66666666666667,
2537545,Olatunji Ruwase,59,10950,24,1895,2025,131,0.45038167938931295,5,3,2,arXiv.org,21,0.7999527252089111,"{'conference': 20, 'journal': 4}",4.2,185.59322033898306,
89269402,Colin Leong,14,3084,6,2015,2024,10,1.4,3,0,1,arXiv.org,9,0.9549655329584326,"{'conference': 4, 'journal': 1}",2.5,220.28571428571428,
51878929,Samuele Garda,16,2815,7,2018,2024,7,2.2857142857142856,4,0,0,Bioinformatics,11,0.9807239409418418,"{'journal': 4, 'conference': 4}",1.0,175.9375,
2097304324,M. A. Jauhar,6,2583,1,2016,2022,7,0.8571428571428571,0,0,1,arXiv.org,1,0.0,,0.0,430.5,
144270981,Angela Fan,63,34621,36,2016,2023,8,7.875,20,8,0,arXiv.org,20,0.8705403539022963,"{'conference': 35, 'journal': 8}",4.0,549.5396825396825,
27421936,Loïc Vial,15,591,7,2016,2020,5,3.0,9,0,1,JEPTALNRECITAL,7,0.9138311481971517,{'conference': 7},8.0,39.4,
2107966746,Jiyang Zhang,15,220,7,2020,2025,6,2.5,10,0,0,arXiv.org,9,0.9246934699012206,{'conference': 5},6.0,14.666666666666666,
2556289,Oscar Täckström,35,3795,18,2005,2021,17,2.0588235294117645,10,4,8,Conference on Empirical Methods in Natural Language Processing,13,0.9561865251496298,"{'conference': 15, 'journal': 3}",4.0,108.42857142857143,
34650964,Sameer Singh,180,37808,61,2005,2023,19,9.473684210526315,26,62,7,arXiv.org,48,0.7719688845331828,"{'conference': 92, 'journal': 12}",7.153846153846154,210.04444444444445,"University of California, Irvine"
51128119,L. V. Werra,33,6623,17,2017,2025,9,3.6666666666666665,3,3,0,arXiv.org,9,0.8081283552162087,{'conference': 11},12.0,200.6969696969697,
2116123009,Jonathan Chang,2,2603,2,2010,2022,13,0.15384615384615385,0,0,0,arXiv.org,2,1.0,{'journal': 1},0.5,1301.5,
73769093,Amit Alfassy,10,2909,7,2019,2024,6,1.6666666666666667,2,0,0,arXiv.org,6,0.935944697445866,{'conference': 5},6.0,290.9,
153794305,Dylan Slack,23,1836,14,2019,2023,5,4.6,14,1,2,arXiv.org,9,0.7644406953580747,"{'conference': 4, 'journal': 4}",1.0,79.82608695652173,University of California Irvine
2548384,Hannaneh Hajishirzi,194,36095,79,2007,2024,18,10.777777777777779,14,84,1,Conference on Empirical Methods in Natural Language Processing,32,0.758138586211407,"{'conference': 138, 'journal': 8}",15.444444444444445,186.05670103092783,
94251255,T. Bers,10,4426,3,1970,2025,56,0.17857142857142858,1,0,1,arXiv.org,2,0.9182958340544894,{'conference': 1},2.0,442.6,
51445267,Ethan Gotlieb Wilcox,34,1692,17,1943,2023,81,0.41975308641975306,13,3,6,Annual Meeting of the Cognitive Science Society,13,0.9281493757211191,"{'journal': 4, 'conference': 15}",3.2,49.76470588235294,Harvard University
2260132137,Alexander M. Rush,12,3799,6,2012,2023,12,1.0,1,5,0,arXiv.org,4,0.8962406251802889,{'conference': 3},4.0,316.5833333333333,
1879244510,Mona G. Flores,25,3887,14,2020,2023,4,6.25,1,0,0,arXiv.org,17,0.9725881732291826,{'journal': 11},0.08333333333333333,155.48,
2049319,Linquan Liu,14,369,7,2006,2023,18,0.7777777777777778,4,0,0,Automatic Speech Recognition & Understanding,8,0.9517961807358447,"{'conference': 9, 'journal': 1}",5.0,26.357142857142858,
2064619864,Chitta Baral,118,6460,28,2008,2025,18,6.555555555555555,2,75,0,arXiv.org,32,0.757479257626195,"{'conference': 50, 'journal': 12}",3.923076923076923,54.74576271186441,
51195616,Yujie Qiao,6,164,4,2022,2024,3,2.0,0,0,0,arXiv.org,3,0.920619835714305,"{'journal': 1, 'conference': 2}",1.5,27.333333333333332,Yale University
2110334261,Yujie Zhou,12,367,8,2019,2025,7,1.7142857142857142,4,1,0,arXiv.org,6,0.8596610491977074,"{'conference': 4, 'journal': 2}",1.6666666666666667,30.583333333333332,
2782886,Kai-Wei Chang,239,35796,62,2008,2023,16,14.9375,19,85,1,arXiv.org,51,0.7641660635923353,"{'conference': 152, 'journal': 18}",8.052631578947368,149.77405857740587,UCLA
97979993,Julio Bonis Sanz,6,2603,3,2002,2025,24,0.25,1,0,0,North American Chapter of the Association for Computational Linguistics,3,0.9999999999999998,{'conference': 2},3.0,433.8333333333333,
12046785,Natasha Seelam,7,2711,6,2011,2022,12,0.5833333333333334,0,0,1,BIGSCIENCE,4,1.0,"{'conference': 1, 'journal': 1}",1.0,387.2857142857143,
2113568188,C.A.I. Peng,18,531,6,2013,2025,13,1.3846153846153846,8,0,0,AMIA Joint Summits on Translational Science proceedings. AMIA Joint Summits on Translational Science,9,0.9560601783482666,"{'journal': 2, 'conference': 2}",1.0,29.5,
7744881,Shamsuddeen Hassan Muhammad,75,4311,18,2016,2025,10,7.5,14,6,2,arXiv.org,24,0.8145049462411095,"{'conference': 27, 'journal': 5}",4.666666666666667,57.48,
48262024,Michael Zeng,89,6567,35,2018,2023,6,14.833333333333334,0,47,1,arXiv.org,22,0.8315821717719206,"{'conference': 50, 'journal': 9}",5.1,73.78651685393258,
2134457930,Y. Jiang,33,744,12,2021,2025,5,6.6,6,2,0,arXiv.org,7,0.5724625234584528,{'conference': 9},10.0,22.545454545454547,
40908357,Hanyao Huang,76,873,12,1996,2025,30,2.533333333333333,17,27,0,The Laryngoscope,42,0.9613909086784241,{'journal': 66},0.014925373134328358,11.486842105263158,
49606614,Junlin Wang,15,534,7,2019,2025,7,2.142857142857143,6,1,0,arXiv.org,9,0.9365895289671657,"{'conference': 8, 'journal': 1}",4.5,35.6,Duke University
10743797,Mathias Kraus,36,1786,16,2017,2024,8,4.5,7,2,1,"Diabetes, obesity and metabolism",23,0.9619838891610644,"{'journal': 19, 'conference': 10}",0.55,49.611111111111114,
66986482,Samuel Cahyawijaya,59,6289,24,2014,2025,12,4.916666666666667,14,0,1,arXiv.org,28,0.9147786947713505,"{'conference': 31, 'journal': 2}",10.666666666666666,106.59322033898304,
36851489,Ameya Godbole,17,384,8,2018,2025,8,2.125,6,0,0,Conference on Empirical Methods in Natural Language Processing,8,0.8941962435006111,"{'conference': 10, 'journal': 2}",3.6666666666666665,22.58823529411765,University of Southern California
1451644426,Pawan Sasanka Ammanamanchi,9,3148,8,2019,2024,6,1.5,0,1,0,arXiv.org,4,0.875,{'conference': 3},4.0,349.77777777777777,
152319568,Jinyu Li,219,15351,56,2005,2023,19,11.526315789473685,48,17,4,"IEEE International Conference on Acoustics, Speech, and Signal Processing",23,0.5926544686067109,"{'conference': 164, 'journal': 11}",13.75,70.0958904109589,
2153471163,Yang Li,22,1249,14,2009,2023,15,1.4666666666666666,6,10,0,arXiv.org,11,0.9483173607350681,"{'conference': 11, 'journal': 1}",6.0,56.77272727272727,
