name,h_index,h_index_rank,composite_score,composite_rank,citation_impact_weighted,breadth_weighted,productivity_weighted,leadership_weighted,quality_weighted,citation_impact_raw,venue_diversity_raw,papers_per_year,leadership_ratio,quality_score,institution
Shaoxiong Ji,22,306.0,0.7571665333581515,91.0,0.30584,0.20599514039260827,0.14285714285714288,0.06,0.042474250108400474,76.46,0.9371150879577616,7.142857142857143,0.6,0.8494850021680094,Technical University of Darmstadt
Alexander M. Rush,57,61.0,0.7918906416406006,58.0,0.4,0.1892180119625562,0.10615384615384615,0.060869565217391314,0.03564921830680703,174.4927536231884,0.7812457826431783,5.3076923076923075,0.6086956521739131,0.7129843661361406,Cornell Tech
Phillip Schneider,4,809.0,0.41275990924784534,817.0,0.02258823529411765,0.18870108571843355,0.085,0.07647058823529412,0.04000000000000001,5.647058823529412,0.9668633469624776,4.25,0.7647058823529411,0.8,
Peter Milder,23,291.0,0.5496672523727106,520.0,0.12337349397590361,0.2411846232842767,0.08736842105263158,0.05301204819277109,0.044728665867127676,30.843373493975903,0.9496264187672956,4.368421052631579,0.5301204819277109,0.8945733173425534,Stony Brook University
Edward Kim,7,669.0,0.6733532802243073,246.0,0.4,0.1819247087957357,0.011428571428571429,0.05,0.03,100.25,0.979569764547061,0.5714285714285714,0.5,0.6,
J. Devylder,40,133.0,0.6183811258290769,388.0,0.09854716981132076,0.2219094277158693,0.2,0.06792452830188679,0.03,24.63679245283019,0.8394824440906818,11.777777777777779,0.6792452830188679,0.6,
Chu-Ren Huang,8,635.0,0.402296328287452,844.0,0.01841379310344828,0.18497129883687793,0.07733333333333334,0.07758620689655173,0.04399169611724077,4.603448275862069,0.842693136210731,3.8666666666666667,0.7758620689655172,0.8798339223448153,
David Weiss,12,509.0,0.6736169729307413,245.0,0.4,0.1657964601102283,0.021666666666666667,0.046153846153846156,0.04000000000000001,165.69230769230768,0.9131226292013046,1.0833333333333333,0.46153846153846156,0.8,
Diyi Yang,30,209.0,0.6838385885349011,219.0,0.19082051282051285,0.18997950530996816,0.2,0.07051282051282053,0.03252574989159953,47.70512820512821,0.828454316056961,26.0,0.7051282051282052,0.6505149978319906,
Rafael A. Calvo,2,903.0,0.6503333333333333,300.0,0.4,0.17949999999999997,0.0075,0.03333333333333333,0.03,103.33333333333331,0.9999999999999998,0.375,0.3333333333333333,0.6,
A. Callahan,24,281.0,0.6314571403333326,357.0,0.2191232876712329,0.23376358222255494,0.09125,0.0547945205479452,0.03252574989159953,54.78082191780822,0.9672204698431712,4.5625,0.547945205479452,0.6505149978319906,
I. Trofimov,10,570.0,0.36689439379722966,917.0,0.054000000000000006,0.17597356524566116,0.037142857142857144,0.05384615384615385,0.045931817562557514,13.5,0.8855632299752066,1.8571428571428572,0.5384615384615384,0.9186363512511502,
Rosa Vallejos,6,704.0,0.35330885232676684,946.0,0.021142857142857144,0.1825670745606029,0.017073170731707315,0.1,0.03252574989159953,5.285714285714286,0.9575261403463023,0.8536585365853658,1.4857142857142858,0.6505149978319906,
A. Nik,4,809.0,0.3111303423881071,986.0,0.046000000000000006,0.16370177095953564,0.011428571428571429,0.05,0.04000000000000001,11.5,0.9182958340544894,0.5714285714285714,0.5,0.8,
Han Cai,15,437.0,0.5129505056825957,582.0,0.20292307692307696,0.15728017601226596,0.07428571428571429,0.038461538461538464,0.04000000000000001,50.73076923076923,0.8130295772129486,3.7142857142857144,0.38461538461538464,0.8,
Michael Wiegand,21,321.0,0.5567033318697805,504.0,0.1384081632653061,0.21816840017804257,0.08521739130434784,0.07448979591836735,0.04041958120371672,34.60204081632653,0.9123908581602432,4.260869565217392,0.7448979591836735,0.8083916240743344,Institute for German Language Mannheim/Heidelberg University
C. Caucheteux,19,364.0,0.670788544298361,257.0,0.4,0.18809986680880664,0.01904761904761905,0.04000000000000001,0.023641058441935182,109.525,0.9205706674788952,0.9523809523809523,0.4,0.4728211688387036,
Patrick Haller,4,809.0,0.6757367953256876,239.0,0.4,0.15823679532568757,0.04000000000000001,0.037500000000000006,0.04000000000000001,283.0,0.8613531161467861,2.0,0.375,0.8,
Shlok S Deshmukh,2,903.0,0.6580000000000001,281.0,0.4,0.178,0.04000000000000001,0.0,0.04000000000000001,1114.5,1.0,2.0,0.0,0.8,
Preslav Nakov,36,156.0,0.5518999769609843,512.0,0.08046829268292684,0.21297299095207745,0.1782608695652174,0.04390243902439025,0.0362953847363723,20.117073170731707,0.7884170911547284,8.91304347826087,0.43902439024390244,0.7259076947274461,
Shijie Geng,28,232.0,0.6454467449057885,311.0,0.2618305084745763,0.1963574412939646,0.11800000000000002,0.027118644067796613,0.04214015106945093,65.45762711864407,0.8991853788226549,5.9,0.2711864406779661,0.8428030213890186,
Luke Zettlemoyer,111,7.0,0.8727346716372772,28.0,0.4,0.1878576775807524,0.2,0.055636363636363644,0.029240630420161243,373.5345454545455,0.7049010147471566,10.576923076923077,0.5563636363636364,0.5848126084032248,University of Washington
Reid Pryzant,8,635.0,0.6248733870419629,368.0,0.28680000000000005,0.1819247087957357,0.02857142857142857,0.08000000000000002,0.047577249674798594,71.7,0.979569764547061,1.4285714285714286,0.8,0.9515449934959718,
Karolina Stańczak,6,704.0,0.37664017481848305,901.0,0.072,0.18039625847701782,0.01666666666666667,0.06,0.047577249674798594,18.0,0.9708357627258162,0.8333333333333334,0.6,0.9515449934959718,Mila;McGill University
Xiang Ren,38,146.0,0.6575200659713449,284.0,0.1892727272727273,0.1677609618238603,0.2,0.06439393939393939,0.03609243748081782,47.31818181818182,0.7357769247077731,12.0,0.6439393939393939,0.7218487496163564,
S. Quarteroni,15,437.0,0.8225321256116167,40.0,0.4,0.21336059002022173,0.07263157894736842,0.08840579710144929,0.048134159542577395,190.15942028985503,0.9706319429726956,3.6315789473684212,0.8840579710144928,0.9626831908515479,
Gunjan Chhablani,11,542.0,0.7170076073046509,141.0,0.4,0.16850620699744073,0.09333333333333334,0.010714285714285714,0.044453781259591096,173.60714285714286,0.8686068971282328,4.666666666666667,0.10714285714285714,0.8890756251918218,
Ruisi Su,4,809.0,0.6570851152862655,285.0,0.4,0.17720168247694326,0.020000000000000004,0.014285714285714285,0.04559771852360797,338.85714285714283,0.9697238998682473,1.0,0.14285714285714285,0.9119543704721593,
Dotan Emanuel,5,764.0,0.5059586861732439,593.0,0.24680000000000002,0.17824810316511194,0.03333333333333334,0.0,0.047577249674798594,61.7,0.967132018086354,1.6666666666666667,0.0,0.9515449934959718,
Chen Luo,2,903.0,0.7561666666666667,94.0,0.4,0.17949999999999997,0.06,0.06666666666666667,0.05,160.33333333333334,0.9999999999999998,3.0,0.6666666666666666,1.0,
Bill Yuchen Lin,35,159.0,0.7439096163345893,107.0,0.3664375,0.1591059568483501,0.14222222222222222,0.05,0.026143937264016884,91.609375,0.7720340391334293,7.111111111111111,0.5,0.5228787452803376,Allen Institute for AI (AI2)
Maged S. Alshaibani,3,852.0,0.1585,1000.0,0.11200000000000002,0.0015,0.015,0.0,0.03,28.0,0.0,0.75,0.0,0.6,
J. Starren,42,119.0,0.5668431835286094,475.0,0.1445586592178771,0.21518100408751378,0.10228571428571427,0.06424581005586592,0.0405719958816384,36.13966480446928,0.8010343090715074,5.114285714285714,0.6424581005586593,0.8114399176327679,
K. Cohen,37,150.0,0.6246325110275427,371.0,0.13401129943502824,0.2363725657457152,0.15391304347826087,0.05593220338983051,0.04440339897870796,33.50282485875706,0.9221289471183725,7.695652173913044,0.559322033898305,0.8880679795741591,
A. Sharma,1,945.0,0.4784742501084004,650.0,0.148,0.178,0.010000000000000002,0.1,0.042474250108400474,37.0,1.0,0.5,1.5,0.8494850021680094,
J. Weston,106,9.0,0.9116285099172791,11.0,0.4,0.21588144875366672,0.18923076923076923,0.06422764227642278,0.0422886496564203,374.4268292682927,0.8050368500209528,9.461538461538462,0.6422764227642277,0.8457729931284059,
M. Oussalah,9,599.0,0.377594131599695,898.0,0.04290909090909092,0.2162968258423309,0.05176470588235295,0.02727272727272727,0.03935078169319298,10.727272727272728,0.9788390048133194,2.588235294117647,0.2727272727272727,0.7870156338638594,
Wenhu Chen,12,509.0,0.41853221488326675,799.0,0.13309090909090912,0.17333989728418653,0.07333333333333333,0.009090909090909092,0.029677166083928615,33.27272727272727,0.9047994130524945,3.6666666666666665,0.09090909090909091,0.5935433216785723,
