name,h_index,h_index_rank,total_citation_count,total_paper_count,institution
Geoffrey E. Hinton,159,1.0,524207,468,
G. Ceder,153,2.0,97779,979,
Christopher D. Manning,144,3.0,170424,492,Stanford University
R. Gur,141,4.0,73993,982,
Yann LeCun,132,5.0,244817,405,Facebook
W. Bruce Croft,125,6.0,61266,726,"University of Massachusetts, Amherst"
Luke Zettlemoyer,111,7.0,102722,275,University of Washington
Noah A. Smith,109,8.0,51749,425,University of Washington
H. Krumholz,106,9.0,57607,645,
J. Weston,106,9.0,92109,246,
Dan Jurafsky,104,11.0,56785,357,Stanford University
Yejin Choi,104,11.0,46739,277,
E. Cambria,104,11.0,46615,504,
E. Hovy,97,14.0,48434,631,
A. Halevy,96,15.0,37522,373,
D. Roth,94,16.0,35304,586,
Jianfeng Gao,94,16.0,57674,409,
Hsinchun Chen,93,18.0,40120,820,
J. Pei,92,19.0,48951,456,
Maosong Sun,91,20.0,39257,494,
Kyunghyun Cho,90,21.0,117197,328,
L. Deng,88,22.0,58850,508,
L. Briand,86,23.0,31098,538,
R. Socher,86,23.0,151527,219,
Graham Neubig,84,25.0,32861,596,
Dong Yu,80,26.0,41570,572,
Dragomir R. Radev,80,26.0,30341,334,
C. Bearden,79,28.0,24158,539,
Zhiyong Lu,75,29.0,30011,287,
Hannaneh Hajishirzi,74,30.0,28460,194,
K. Kavukcuoglu,74,30.0,187080,113,
L. Bottou,74,30.0,116503,198,
Ting Liu,73,33.0,24828,457,
Soujanya Poria,71,34.0,26635,241,
Michael D. Ernst,71,34.0,20906,251,University of Washington
Xiaodong He,70,36.0,40668,282,
P. Bourne,70,36.0,31718,415,
Julia Hirschberg,70,36.0,21522,357,
Hinrich Schütze,67,39.0,27263,431,
Yiming Yang,67,39.0,51658,349,
Sebastian Riedel,67,39.0,31322,243,
J. Dudley,67,39.0,55804,321,
G. Clifford,66,43.0,19394,357,
Richard G. Netemeyer,64,44.0,30316,136,
Xuanjing Huang,64,44.0,18735,385,Fudan University
Walter Daelemans,64,44.0,15370,571,University of Antwerp
J. Pustejovsky,64,44.0,17969,376,
S. Ananiadou,63,48.0,17782,531,
Martha Palmer,63,48.0,24845,380,
Nizar Habash,60,50.0,12401,315,
R. Sipio,60,50.0,21738,348,
Chuang Gan,60,50.0,15014,133,
Quan Z. Sheng,59,53.0,16346,533,"School of Computing, Macquarie University, North Ryde, NSW, Australia"
A. Bulling,59,53.0,14788,242,
J. Kors,59,53.0,15201,312,
Xipeng Qiu,59,53.0,18898,246,Fudan University
Kai-Wei Chang,59,53.0,31736,239,UCLA
Jie Zhou,58,58.0,16280,826,Tencent Inc.
William Yang Wang,58,58.0,13815,215,
G. Savova,58,58.0,11423,218,
Alexander M. Rush,57,61.0,24080,138,Cornell Tech
A. Wilson,57,61.0,13526,199,
E. Belding-Royer,57,61.0,47694,210,
F. Rybicki,57,61.0,13565,423,
S. Bakken,56,65.0,12826,359,
Eneko Agirre,56,65.0,18202,304,University of the Basque Country (UPV/EHU)
Christopher Potts,56,65.0,31777,183,
D. Litman,55,68.0,11702,316,
Hua Xu,55,68.0,10919,233,
E. Fox,55,68.0,14460,598,
Y. Wilks,55,68.0,11015,478,
Zachary Chase Lipton,54,72.0,19604,184,
Colin Raffel,54,72.0,53698,102,
Qiang Yang,54,72.0,22029,200,
Kalina Bontcheva,54,72.0,12797,276,
Mark Johnson,54,72.0,18729,236,
R. Collobert,53,77.0,37707,141,
Jacob Eisenstein,53,77.0,11917,168,
Y. Aloimonos,53,77.0,10617,393,
Song Han,53,77.0,46109,97,
Lei He,53,77.0,13730,912,UCLA
Jianfeng Gao,53,77.0,17324,144,
Ivan Vulic,53,77.0,10779,241,
A. Korhonen,53,77.0,11770,252,
Sebastian Ruder,52,85.0,25449,109,Cohere
Alessandro Moschitti,52,85.0,12951,347,"Amazon, University of Trento"
Hongfang Liu,52,85.0,11287,495,
Yoav Goldberg,51,88.0,20377,120,Bar-Ilan University
Wanxiang Che,51,88.0,10541,222,
Khaled Shaalan,50,90.0,10303,289,The British University in Dubai
C. Corcoran,49,91.0,10219,221,
Shiliang Sun,49,91.0,9384,222,
Ryan T. McDonald,49,91.0,18244,100,
V. Mittal,48,94.0,8421,341,
Batya Friedman,48,94.0,11635,135,
Holger Schwenk,47,96.0,38266,167,
Matt Gardner,47,96.0,22700,92,Allen Institute for Artificial Intelligence
Jan Hajic,46,98.0,10345,248,
C. Bauckhage,46,98.0,9988,359,
B. Coecke,46,98.0,8919,256,
Noémie Elhadad,46,98.0,9550,142,Columbia University
Emad Shihab,45,102.0,6333,124,
E. Boyer,45,102.0,6984,184,
Steven Bethard,45,102.0,14242,186,University of Arizona
Bing Qin,45,102.0,14744,234,
M. Salathé,45,102.0,13413,120,
M. Worring,45,102.0,11974,362,
F. Silvestri,44,108.0,5648,184,
Xavier Franch,44,108.0,7072,419,
Maarten Sap,44,108.0,10557,118,"Carnegie Mellon University, Allen Institute for AI"
Slav Petrov,43,111.0,24255,83,Google
J. Kalita,43,111.0,9828,323,
Dirk Hovy,43,111.0,7212,141,Bocconi University
Hoifung Poon,43,111.0,10695,115,
Haoran Xie,43,111.0,12243,299,
Marcos Zampieri,43,111.0,9451,144,
Samuel R. Bowman,43,111.0,30740,99,New York University
M. Surdeanu,43,111.0,16057,204,
E. Olivetti,42,119.0,6524,158,
J. Starren,42,119.0,6469,179,
Yoav Goldberg,42,119.0,9122,112,
Mohit Iyyer,42,119.0,20595,114,
Mo Yu,42,119.0,10161,95,IBM Research
S. Oepen,41,124.0,4555,144,
Kareem Darwish,41,124.0,6834,142,
Roi Reichart,41,124.0,7018,141,
H. A. Schwartz,41,124.0,8552,149,
Lingfei Wu,41,124.0,6865,185,
L. Hunter,41,124.0,6398,182,
Hefu Liu,41,124.0,6608,158,
Chenliang Li,41,124.0,7315,148,
J. Cole,41,124.0,6954,219,
Isabelle Augenstein,40,133.0,6068,152,University of Copenhagen
