pair_id,pair_type,comparison_focus,researcher_a_name,researcher_a_h_index,researcher_a_h_rank,researcher_a_composite_rank,researcher_a_composite_score,researcher_b_name,researcher_b_h_index,researcher_b_h_rank,researcher_b_composite_rank,researcher_b_composite_score,h_rank_difference,composite_rank_difference,dramatic_difference,question_context
1,type1_similar_h_dramatic_composite,"Similar H-index ranking, dramatically different composite ranking",Xiaodong Liu,37,149,59,0.2343578732203741,V. Castro,38,145,182,0.14071314767595594,4,123,123,Both researchers have similar citation impact (H-index ranks #149 vs #145). Who would you rank higher for overall research excellence?
2,type1_similar_h_dramatic_composite,"Similar H-index ranking, dramatically different composite ranking",F. Matthes,37,149,77,0.21031813372234048,Bill Yuchen Lin,35,158,203,0.13195347856663728,9,126,126,Both researchers have similar citation impact (H-index ranks #149 vs #158). Who would you rank higher for overall research excellence?
3,type1_similar_h_dramatic_composite,"Similar H-index ranking, dramatically different composite ranking",Thomas Wolf,34,163,107,0.18636556338975685,Yonghui Wu,34,163,210,0.12592563776679155,0,103,103,Both researchers have similar citation impact (H-index ranks #163 vs #163). Who would you rank higher for overall research excellence?
4,type1_similar_h_dramatic_composite,"Similar H-index ranking, dramatically different composite ranking",D. Klakow,33,181,103,0.18780581671541013,Dat Quoc Nguyen,33,181,211,0.1258245271273113,0,108,108,Both researchers have similar citation impact (H-index ranks #181 vs #181). Who would you rank higher for overall research excellence?
5,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",Xuanjing Huang,64,44,50,0.2519292243859373,Xiaodong Liu,37,149,59,0.2343578732203741,105,9,105,Both researchers have similar multi-dimensional scores (composite ranks #50 vs #59). Who has greater citation impact and influence?
6,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",G. Savova,58,58,93,0.19698731092293142,D. Klakow,33,181,103,0.18780581671541013,123,10,123,Both researchers have similar multi-dimensional scores (composite ranks #93 vs #103). Who has greater citation impact and influence?
7,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",Chuang Gan,60,50,100,0.1919349392524432,Thomas Wolf,34,163,107,0.18636556338975685,113,7,113,Both researchers have similar multi-dimensional scores (composite ranks #100 vs #107). Who has greater citation impact and influence?
8,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",Jacob Eisenstein,53,76,113,0.1818180837478955,Fu Lee Wang,33,181,117,0.1745248492199854,105,4,105,Both researchers have similar multi-dimensional scores (composite ranks #113 vs #117). Who has greater citation impact and influence?
9,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",M. Salathé,45,101,121,0.16832743516979823,Stella Biderman,31,201,130,0.1611196838827833,100,9,100,Both researchers have similar multi-dimensional scores (composite ranks #121 vs #130). Who has greater citation impact and influence?
10,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",E. Boyer,45,101,122,0.16588656038422603,M. Costa-jussà,31,201,132,0.16076312957444977,100,10,100,Both researchers have similar multi-dimensional scores (composite ranks #122 vs #132). Who has greater citation impact and influence?
11,type2_similar_composite_dramatic_h,"Similar composite ranking, dramatically different H-index ranking",Emad Shihab,45,101,154,0.15257189985957897,Yanjun Qi,31,201,144,0.15534528694331629,100,10,100,Both researchers have similar multi-dimensional scores (composite ranks #154 vs #144). Who has greater citation impact and influence?
